age,income,credit_score,satisfaction,debt_ratio,education_years,loan_amount,spending_score,target,gender,region
20,-0.1644713583984445,-0.7051820240254287,-0.015432996283671424,-0.0784247712901035,0.7304607383605863,0.3637773267563851,0.7272961308547299,0,Female,South
24,0.2749355377665592,-0.776536344541371,-0.9591317915664472,-1.123291381389895,-0.5725041469302994,-0.9185799171672739,0.07388586949234133,0,Male,South
51,-0.5906400749872348,-1.343470279529558,6.169132701810652,1.222753302049598,1.439648989951989,-1.7150763764358055,3.223088983027604,1,Male,South
18,-0.032959921078907106,-0.7231312980172583,-1.0630646484946447,-0.20107232843539924,-0.7707106334300973,0.8906355740663349,-1.3796256539842424,1,Male,South
22,-0.9149890098836182,0.9533975332379796,-0.03363126888527927,-0.048063258804639464,-0.8609092935157406,0.5111693702417164,-0.4492937906203869,0,Male,West
34,-2.445341231722561,1.0994870253330813,4.337324890921055,1.058422188664633,-4.416416503138055,-1.6580416000467197,-1.6328326954825707,1,Male,North
34,1.0091755583888673,0.4861685979665005,-3.838227838597843,-0.6115654017718712,0.7424676366618044,1.5743770954286536,-1.1676373919086172,1,Female,South
41,-1.7346904812900994,1.179259334610126,2.1864759185067855,-1.7728091625467013,1.0475490536898502,2.538128351538042,1.908527041350225,0,Male,South
32,-0.754055743562692,-0.37910174834874727,1.1668611719031872,-3.290090701952197,-1.9281874407449375,-1.4110714899752006,0.8428024559392333,0,Male,North
37,0.009802479646078055,,3.136017650061962,-0.46567629855453907,0.1964614636907304,-2.079091681409695,1.9778110773830824,1,Male,South
24,,-0.9068077260268592,1.4134867487271718,-1.3943314299015963,-3.030405827455798,-1.46640503735006,-0.5581188792704792,0,Female,North
19,-1.9925264539100047,0.128628690654427,0.4752596339273351,-0.15158214694322258,-0.81065731313861,2.3901766727832685,-0.5659414567192025,0,Female,North
26,-1.7700216964098128,-0.2026167676043195,3.13064516130584,0.14264420080280849,-1.4028047076784818,-0.9501757612650283,0.8330195616144812,1,Female,West
20,-0.1082108656501739,-0.9189691210547781,0.2595946984781096,1.2428547133112873,0.6438028635444699,0.6002905448445915,-0.0510172580784366,1,Female,East
40,-2.0447031585426894,-0.4763977606015151,2.0600333840132836,1.1762704805379514,0.146617990389874,-1.5438235277948693,2.606369896625356,1,Male,West
26,-0.9884497858190286,-0.8814249061673531,1.2943144278526286,1.5424295587540575,1.0205415500710493,0.29302972741391053,1.2783154794387006,0,Male,East
19,0.9025362791829421,0.8403568239355511,-2.3045813427884014,-0.9771653755847864,0.573621594051127,1.5946126480661595,-0.9871648231766375,1,Female,East
32,0.5916671513232645,1.9072978364265534,-0.353911242200195,2.0703235888133316,2.896844948581939,0.43877996216159443,1.4976151224245935,0,Female,East
23,3.333676427643586,-0.8577388807870001,-5.313240712401776,-2.8639382549042818,1.2747593452686286,1.6010086894832019,-1.8582914883450465,1,Male,South
32,-1.3508876982700877,1.2840410068362866,1.7282721511289953,-1.136305745710896,-0.09093785613754425,1.0234601158396561,1.0160771652545915,0,Male,West
22,-0.8994233681833603,-0.1698196855231585,1.285298835585582,1.4401379839356756,0.9112957287011645,0.4783831680034849,1.0073616801450245,0,Female,East
40,-0.5163583326946022,-1.6566925195595903,5.823879984391484,3.0773168545163623,-0.26240066972277726,-2.763275301841135,1.2328031215836908,0,Female,North
36,-0.37050312502905103,0.19163196206738903,-1.0502990963461907,1.0680278669765646,1.3213232427224055,1.0512223681841535,0.5663504347840895,0,Female,South
31,,-2.2456704382724957,-2.4631534861214206,2.2772776117488887,1.6535593842709464,-0.9428899730852247,-1.1841395149014158,1,Female,West
49,-1.440473262906686,0.9692305876119747,4.5451275006877125,2.2205588056589614,-2.1522833352421853,0.19905273803807466,-1.6538367983837983,1,Male,East
24,-1.4180071330554642,0.061156459935711685,0.8302842942124501,0.8690639843535624,0.6999650556705661,1.259747633026364,0.9131815379584405,0,Male,North
38,-2.030623502894124,-0.47007149958870037,2.13840348729828,-2.24414620291373,-1.3589505579694063,1.0129737449931338,0.7081978411045013,0,Male,West
26,0.28489542768292764,-0.39063653075135196,1.0877607293466804,1.8441280311720867,6.103168413124475,3.6336078589238827,3.425904382590788,0,Female,West
30,-0.5802634317289278,0.7131723652486122,3.4442567140397973,-0.13243837145832438,0.37781065637105155,-2.105512476681869,2.59262099273732,1,Female,South
29,-1.2115105579011716,,0.04096382416116903,0.7731432838693413,1.1850664135037274,1.6599843754048775,0.9719911813491038,0,Male,West
24,,-1.8680018866707437,0.9258453318414744,1.305212940506362,1.70181193464225,1.267050275429721,1.4561235949061029,0,Male,South
